Transaction_ID,Application_ID,Transaction_Date,Account_Type,Transaction_Type,Description,Amount,Debit_Credit,Category,Counterparty_Type,Balance,GST_Related,EMI_Related,Salary_or_Business_Income,Recurring,Anomaly_Flag,Round_Trip_Flag,Bounce_Flag
TXN000001,APP00048,2024-02-01,Current,NEFT,Transfer,42905,Debit,Business Revenue,Vendor,107095,No,No,Yes,No,No,No,No
TXN000002,APP00007,2024-02-01,Current,NEFT,Transfer,15628,Debit,Rent,Vendor,91467,No,No,No,No,No,No,No
TXN000003,APP00028,2024-02-01,Current,NEFT,Transfer,36741,Debit,Salary,Vendor,54726,No,No,Yes,No,No,No,No
TXN000004,APP00033,2024-02-01,Current,NEFT,Transfer,7140,Debit,Vendor Payment,Vendor,47586,No,No,No,No,No,No,No
TXN000005,APP00042,2024-02-01,Current,NEFT,Transfer,37781,Debit,Rent,Vendor,9805,No,No,No,No,No,No,No
TXN000006,APP00038,2024-02-01,Current,NEFT,Transfer,28493,Debit,EMI,Vendor,-18688,No,Yes,No,No,No,No,No
TXN000007,APP00028,2024-02-01,Current,NEFT,Transfer,1425,Debit,Rent,Vendor,-20113,No,No,No,No,No,No,No
TXN000008,APP00022,2024-02-01,Current,NEFT,Transfer,11189,Debit,Utilities,Vendor,-31302,No,No,No,No,No,No,No
TXN000009,APP00023,2024-02-01,Current,NEFT,Transfer,25898,Debit,GST,Vendor,-57200,Yes,No,No,No,No,No,No
TXN000010,APP00008,2024-02-01,Current,NEFT,Transfer,3847,Credit,Salary,Vendor,-53353,No,No,Yes,Yes,No,No,No
TXN000011,APP00019,2024-02-01,Current,NEFT,Transfer,25807,Debit,Salary,Vendor,-79160,No,No,Yes,Yes,No,No,No
TXN000012,APP00013,2024-02-01,Current,NEFT,Transfer,41535,Credit,Salary,Vendor,-37625,No,No,Yes,No,No,No,No
TXN000013,APP00019,2024-02-01,Current,NEFT,Transfer,4003,Debit,Utilities,Vendor,-41628,No,No,No,Yes,No,No,No
TXN000014,APP00018,2024-02-01,Current,NEFT,Transfer,16256,Debit,EMI,Vendor,-57884,No,Yes,No,No,No,No,No
TXN000015,APP00023,2024-02-01,Current,NEFT,Transfer,24909,Debit,GST,Vendor,-82793,Yes,No,No,No,No,No,No
TXN000016,APP00041,2024-02-01,Current,NEFT,Transfer,18496,Debit,Salary,Vendor,-101289,No,No,Yes,No,No,No,No
TXN000017,APP00030,2024-02-01,Current,NEFT,Transfer,48784,Debit,Vendor Payment,Vendor,-150073,No,No,No,No,Yes,No,No
TXN000018,APP00021,2024-02-01,Current,NEFT,Transfer,42943,Debit,Rent,Vendor,-193016,No,No,No,Yes,No,No,No
TXN000019,APP00003,2024-02-01,Current,NEFT,Transfer,4665,Debit,Utilities,Vendor,-197681,No,No,No,Yes,No,No,No
TXN000020,APP00014,2024-02-01,Current,NEFT,Transfer,27290,Credit,Business Revenue,Vendor,-170391,No,No,Yes,Yes,No,No,No
TXN000021,APP00042,2024-02-01,Current,NEFT,Transfer,38170,Credit,Vendor Payment,Vendor,-132221,No,No,No,No,No,No,No
TXN000022,APP00017,2024-02-01,Current,NEFT,Transfer,43129,Credit,Vendor Payment,Vendor,-89092,No,No,No,No,No,No,No
TXN000023,APP00038,2024-02-01,Current,NEFT,Transfer,49823,Credit,Rent,Vendor,-39269,No,No,No,No,No,No,No
