Application_ID,Application_Date,State,City,MSME_Sector,Business_Vintage_Years,Annual_Turnover,GST_Turnover,ITR_Income,Monthly_Cash_Inflow,Monthly_Cash_Outflow,Existing_Obligations,Requested_Loan,Approved_Loan,Tenure_Months,Interest_Rate,Credit_Bureau_Score,Alternative_Data_Score,MSME_Risk_Rank,DPD_30_Count,DPD_90_Count,Bank_Statement_Risk_Flag,Fraud_Flag,KYC_Status,Underwriting_Status,Approval_Status,Disbursement_Status,Processing_TAT_Hours,Region,Lender_Type
APP00001,2024-01-15,Maharashtra,Mumbai,Manufacturing,3,2219583,1858591,5253410,271208,46663,3905,1972427,1972427,12,11.36,789,82,High,0,0,Yes,No,Completed,Completed,Approved,Completed,163,North,NBFC
APP00002,2024-01-15,Maharashtra,Mumbai,Technology,13,3178638,7490293,3154228,195684,111516,28221,154515,154515,36,10.37,714,74,Low,0,0,No,No,Completed,Completed,Approved,Completed,91,South,NBFC
APP00003,2024-01-15,Maharashtra,Mumbai,Manufacturing,2,9761704,5318715,7257550,379588,354282,47400,3275376,3275376,60,11.13,737,54,Low,0,0,No,No,Completed,Completed,Approved,Completed,44,West,NBFC
APP00004,2024-01-15,Maharashtra,Mumbai,Retail,8,6620868,3128882,3405303,236264,139842,87841,2431811,0,36,15.47,697,93,High,0,0,No,No,Completed,Completed,Rejected,N/A,86,North,NBFC
APP00005,2024-01-15,Maharashtra,Mumbai,Retail,15,9844066,4084531,6042960,220017,59327,30021,2364486,0,12,16.34,697,75,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,104,West,NBFC
APP00006,2024-01-15,Maharashtra,Mumbai,Retail,3,4943951,2742608,2368861,440588,324318,70644,3949128,3949128,36,15.85,701,77,High,0,0,No,No,Completed,Completed,Approved,Completed,59,West,NBFC
APP00007,2024-01-15,Maharashtra,Mumbai,Agriculture,14,2339607,2964251,5563398,133876,386768,55333,495240,0,60,10.04,623,74,High,3,1,No,No,Completed,Completed,Rejected,N/A,26,West,NBFC
APP00008,2024-01-15,Maharashtra,Mumbai,Manufacturing,5,7794150,3053446,4106110,51701,168091,65612,1035767,1035767,24,13.82,796,56,High,0,0,No,No,Completed,Completed,Approved,Completed,74,East,NBFC
APP00009,2024-01-15,Maharashtra,Mumbai,Retail,15,509594,5838436,4398721,60211,88650,47576,4548929,4548929,36,11.54,795,65,High,0,0,No,No,Completed,Completed,Approved,Completed,148,East,NBFC
APP00010,2024-01-15,Maharashtra,Mumbai,Manufacturing,9,3270370,4846912,4726448,368029,251846,27760,4086957,0,60,15.92,632,94,Low,2,1,No,No,Completed,Completed,Rejected,N/A,136,South,NBFC
APP00011,2024-01-15,Maharashtra,Mumbai,Agriculture,4,1574176,6072134,476448,358443,320414,30161,2179583,0,60,11.37,630,54,High,0,0,No,No,Completed,Completed,Rejected,N/A,108,West,NBFC
APP00012,2024-01-15,Maharashtra,Mumbai,Manufacturing,4,9546844,2619824,6367921,349391,332100,61953,4171951,0,24,16.17,671,76,Low,0,0,No,No,Completed,Completed,Rejected,N/A,132,South,NBFC
APP00013,2024-01-15,Maharashtra,Mumbai,Technology,1,7254864,6092553,7015856,107288,160367,25112,925588,925588,24,14.06,821,58,Medium,0,0,No,No,Completed,Completed,Approved,Completed,43,West,NBFC
APP00014,2024-01-15,Maharashtra,Mumbai,Technology,14,747595,1964689,6621365,494960,153930,21798,4634780,0,48,13.63,612,63,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,91,North,NBFC
APP00015,2024-01-15,Maharashtra,Mumbai,Technology,11,8664991,2997059,1892978,205560,144137,7665,4762122,4762122,60,15.75,708,53,High,0,0,No,No,Completed,Completed,Approved,Completed,146,East,NBFC
APP00016,2024-01-15,Maharashtra,Mumbai,Agriculture,2,3617625,1549597,5291516,85631,384005,30828,4359974,0,48,10.52,614,86,Low,0,0,No,No,Completed,Completed,Rejected,N/A,157,South,NBFC
APP00017,2024-01-15,Maharashtra,Mumbai,Services,4,4956272,7040184,1397886,402159,368428,39321,2735565,0,48,12.19,652,98,Low,0,0,No,No,Completed,Completed,Rejected,N/A,49,East,NBFC
APP00018,2024-01-15,Maharashtra,Mumbai,Manufacturing,15,1654126,4498412,3399817,199415,112704,57433,3027698,3027698,60,15.48,729,89,High,0,0,No,No,Completed,Completed,Approved,Completed,165,South,NBFC
APP00019,2024-01-15,Maharashtra,Mumbai,Services,2,2295765,3007983,2584622,197721,347105,27607,2318500,2318500,36,11.23,840,90,Medium,0,0,No,No,Completed,Completed,Approved,Completed,37,North,NBFC
APP00020,2024-01-15,Maharashtra,Mumbai,Manufacturing,6,2694789,4794880,1655447,438618,261649,72309,129743,129743,48,14.27,812,57,Low,0,0,No,No,Completed,Completed,Approved,Completed,62,West,NBFC
APP00021,2024-01-15,Maharashtra,Mumbai,Agriculture,3,7710624,2538181,650885,211616,221182,5229,4734916,4734916,36,11.29,813,65,High,0,0,No,No,Completed,Completed,Approved,Completed,128,North,NBFC
APP00022,2024-01-15,Maharashtra,Mumbai,Agriculture,13,3470445,7317152,507923,144036,204160,53964,1463163,1463163,24,11.77,836,100,High,0,0,No,No,Completed,Completed,Approved,Completed,144,South,NBFC
APP00023,2024-01-15,Maharashtra,Mumbai,Retail,5,4318418,4140036,498511,396047,131255,52227,3033147,3033147,36,11.87,809,54,Medium,0,0,No,No,Completed,Completed,Approved,Completed,161,South,NBFC
APP00024,2024-01-15,Maharashtra,Mumbai,Services,3,4953786,1041849,1209346,362775,257836,45309,2291231,0,36,13.21,629,82,Low,3,0,No,No,Completed,Completed,Rejected,N/A,24,North,NBFC
APP00025,2024-01-15,Maharashtra,Mumbai,Agriculture,2,6039837,5666630,5864897,494604,95339,94339,3717984,0,36,13.81,693,92,Medium,2,0,No,No,Completed,Completed,Rejected,N/A,56,South,NBFC
APP00026,2024-01-15,Maharashtra,Mumbai,Retail,10,5549101,7212810,4896430,487112,30212,39829,1559847,1559847,36,11.29,770,100,High,0,0,No,No,Completed,Completed,Approved,Completed,137,West,NBFC
APP00027,2024-01-15,Maharashtra,Mumbai,Technology,11,1922633,5161145,4623924,398050,361843,81167,1523474,1523474,36,10.29,730,98,Low,0,0,No,No,Completed,Completed,Approved,Completed,74,South,NBFC
APP00028,2024-01-15,Maharashtra,Mumbai,Retail,8,1721854,8040615,3776583,380178,331817,25485,2153888,0,48,13.7,611,65,Low,0,0,No,No,Completed,Completed,Rejected,N/A,156,North,NBFC
APP00029,2024-01-15,Maharashtra,Mumbai,Technology,8,2737058,8195419,5900047,328466,323037,78047,1118029,1118029,36,17.58,742,78,High,0,0,No,No,Completed,Completed,Approved,Completed,133,North,NBFC
APP00030,2024-01-15,Maharashtra,Mumbai,Agriculture,8,4848512,4547994,7345280,384318,175391,68327,4081857,4081857,48,14.83,829,67,Medium,0,0,No,No,Completed,Completed,Approved,Completed,93,West,NBFC
APP00031,2024-01-15,Maharashtra,Mumbai,Services,3,4379923,6826265,6121272,130113,142172,8418,1260765,1260765,48,12.96,828,84,Medium,0,0,No,No,Completed,Completed,Approved,Completed,131,East,NBFC
APP00032,2024-01-15,Maharashtra,Mumbai,Technology,7,8502392,498919,3250766,206559,234465,54921,4929240,4929240,60,15.85,819,84,High,0,0,No,No,Completed,Completed,Approved,Completed,93,North,NBFC
